"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16668223671";"261	";"FILAMENTO PLA PRETO";"UN";"3916.90.10";"1";"119,90";"0,00";"";"Ativo";"42,0000";"";"";"";"	";"0,00";"8,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Básico";""
"16668223672";"262	";"FILAMENTO PLA MARRON MADEIRA";"UN";"3916.90.10";"1";"119,90";"0,00";"";"Ativo";"4,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	7898757181218";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/262.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Especiais";""
"16668223673";"263	";"FILAMENTO PLA MARMORIZADO";"UN";"3916.90.10";"1";"139,90";"0,00";"";"Ativo";"4,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/263.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Especiais";""
"16668223674";"264	";"FILAMENTO PLA LAVANDA";"UN";"3916.90.10";"1";"119,90";"0,00";"";"Ativo";"5,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/264.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Básico";""
"16668223675";"265	";"FILAMENTO PLA MATTE BRANCO";"UN";"3916.90.10";"1";"129,90";"0,00";"";"Ativo";"3,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	7898757180990";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/265.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Matte/Fosco";""
"16668223676";"266	";"FILAMENTO PLA MATTE ROSA CLARO";"UN";"3916.90.10";"1";"129,90";"0,00";"";"Ativo";"1,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/266.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Matte/Fosco";""
"16668223677";"267	";"FILAMENTO PLA MATTE PRETO";"UN";"3916.90.10";"1";"129,90";"0,00";"";"Ativo";"9,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/267.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Matte/Fosco";""
"16668223678";"268	";"FILAMENTO PLA MATTE VERDE MILITAR";"UN";"3916.90.10";"1";"129,90";"0,00";"";"Ativo";"4,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/268.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Matte/Fosco";""
"16668223679";"269	";"FILAMENTO PLA RAINBOW CANDY COLORS";"UN";"3916.90.10";"1";"129,90";"0,00";"";"Ativo";"4,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/269.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Especiais";""
"16668223680";"270	";"FILAMENTO PLA SILK RAINBOW FADA";"UN";"3916.90.10";"1";"129,90";"0,00";"";"Ativo";"4,0000";"";"";"";"	";"0,00";"0,00";"0,0000";"0,0000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Terceiros";"";"";"";"";"0,00";"";"0";"";"MultFila";"";"0";"";"0";"https://bling.modulab3d.com.br/img/270.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"";"0,0000";"0,0000";"0,0000";"Filamentos>>PLA>>Silk";""
